,n_estimators,random_state,min_samples_split,min_samples_leaf,bootstrap,max_depth,Train Gini,Test Gini
0,81.0,0.0,22.0,21.0,1.0,21.0,0.5885167464114831,0.4918414918414919
0,81.0,0.0,22.0,21.0,1.0,41.0,0.5885167464114831,0.4918414918414919
0,81.0,0.0,22.0,41.0,1.0,1.0,0.1640464798359535,0.3536463536463536
0,81.0,0.0,22.0,41.0,1.0,21.0,0.1640464798359535,0.3536463536463536
0,81.0,0.0,22.0,41.0,1.0,41.0,0.1640464798359535,0.3536463536463536
0,81.0,0.0,42.0,1.0,1.0,1.0,0.5933014354066986,0.5364635364635364
0,81.0,0.0,42.0,1.0,1.0,21.0,0.7552973342447027,0.4865134865134866
0,81.0,0.0,42.0,1.0,1.0,41.0,0.7552973342447027,0.4865134865134866
0,81.0,0.0,42.0,21.0,1.0,1.0,0.4921394395078606,0.4901764901764902
0,81.0,0.0,42.0,21.0,1.0,21.0,0.5885167464114831,0.4918414918414919
0,81.0,0.0,42.0,21.0,1.0,41.0,0.5885167464114831,0.4918414918414919
0,81.0,0.0,42.0,41.0,1.0,1.0,0.1640464798359535,0.3536463536463536
0,81.0,0.0,42.0,41.0,1.0,21.0,0.1640464798359535,0.3536463536463536
0,81.0,0.0,42.0,41.0,1.0,41.0,0.1640464798359535,0.3536463536463536
